NoFib Results

--------------------------------------------------------------------------------
        Program         Allocs    Instrs
  spectral-norm                0.000            0.000
         sphere                0.063            0.065
         symalg                0.000            0.000
            tak                0.000            0.000
      transform                0.988            +3.4%
       treejoin                1.850            +4.1%
      typecheck                0.163            +6.7%
        veritas                0.043            0.044
           wang                1.624            +4.4%
      wave4main                2.460            +5.0%
   wheel-sieve1                0.593            +9.8%
   wheel-sieve2                3.438            +5.1%
           x2n1                0.000            0.000
        -1 s.d.                -----           -17.2%
        +1 s.d.                -----           +27.3%
        Average                -----            +2.7%

GC Elapsed Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.109             0.0%
            CSD                0.169           +11.8%
             FS                0.179            +8.4%
              S               30.203            +3.9%
             VS                3.378            -4.1%
            VSD                0.000            0.000
            VSM                0.251            +9.2%
           anna                0.487            +6.0%
           ansi                0.000            0.000
           atom                2.761            +4.5%
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                1.517            -9.7%
   binary-trees               11.757            -0.5%
          boyer                0.398            +5.0%
         boyer2                0.093            0.093
           bspt                0.100            0.105
       calendar                0.000            0.000
       cichelli                0.474            +2.3%
        circsim                8.209            +5.3%
       clausify                0.207            +4.3%
  comp_lab_zift                1.772            +3.4%
       compress                0.894            +0.7%
      compress2                2.895            +4.4%
    constraints               49.107            +4.1%
   cryptarithm1                0.313            +9.9%
   cryptarithm2                0.053            0.055
            cse                0.044            0.045
   digits-of-e1               14.247           -81.8%
   digits-of-e2               13.655             0.0%
          eliza                0.000            0.000
          event                2.175           +26.1%
    exact-reals                1.145           +16.0%
         exp3_8                0.591            +3.9%
         expert                0.000            0.000
 fannkuch-redux                0.117            +3.4%
          fasta                0.082            0.090
            fem                0.167            +3.6%
            fft                0.574            +1.9%
           fft2                0.419           +24.1%
       fibheaps                0.235            -1.3%
           fish                0.062            0.068
          fluid                0.078            0.080
         fulsom                3.790            +7.5%
         gamteb                0.213            +4.7%
            gcd                0.056            0.112
    gen_regexps                0.000            0.000
         genfft                0.388            +2.8%
             gg                0.151            +8.6%
           grep                0.000            0.000
         hidden                0.293            +6.1%
            hpg                0.317            +0.6%
            ida                0.412            +3.6%
          infer                0.629           +11.1%
        integer                0.354            +9.0%
      integrate                0.055            0.058
   k-nucleotide                0.175           +10.9%
          kahan                0.038            0.040
        knights                0.037            0.038
         lambda               13.007            +6.6%
     last-piece                2.662            +3.5%
           lcss                8.407            +1.0%
           life                2.569            +6.5%
           lift                0.000            0.000
         linear               12.823            +4.3%
      listcompr                0.094            0.099
       listcopy                0.102            +6.9%
       maillist                0.180            +3.3%
         mandel                0.117            +3.4%
        mandel2                0.000            0.000
           mate                3.162            +8.2%
        minimax                0.054            0.057
        mkhprog                0.053            0.050
     multiplier                0.344            +5.2%
         n-body                0.000            0.000
       nucleic2                0.113            +1.8%
           para                1.581            +4.1%
      paraffins                2.913            -0.7%
         parser                0.218            +5.0%
        parstof                0.082            0.087
            pic                0.113            +5.3%
       pidigits                0.492           +14.2%
          power                6.048            +6.5%
         pretty                0.000            0.000
         primes                0.514            +4.5%
      primetest                0.061            0.064
         prolog                0.046            0.040
         puzzle                0.401            +6.0%
         queens                0.049            0.050
        reptile                0.147            +6.8%
reverse-complem                0.054            0.059
        rewrite                0.056            0.063
           rfib                0.000            0.000
            rsa                0.058            0.062
            scc                0.000            0.000
          sched                0.072            0.079
            scs                4.302            +4.3%
         simple                2.237            +5.2%
          solid                1.590            +1.1%
        sorting                0.043            0.045
  spectral-norm                0.000            0.000
         sphere                0.063            0.065
         symalg                0.000            0.000
            tak                0.000            0.000
      transform                0.983            +4.3%
       treejoin                1.851            +4.1%
      typecheck                0.163            +5.5%
        veritas                0.043            0.045
           wang                1.625            +4.5%
      wave4main                2.462            +5.0%
   wheel-sieve1                0.593            +9.8%
   wheel-sieve2                3.441            +5.1%
           x2n1                0.000            0.000
        -1 s.d.                -----           -17.3%
        +1 s.d.                -----           +27.2%
        Average                -----            +2.6%

GC(0) Count

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                  609             0.0%
            CSD                 1530             0.0%
             FS                 1697             0.0%
              S                  222             0.0%
             VS                 2921             0.0%
            VSD                    0             0.0%
            VSM                 2839             0.0%
           anna                   59             0.0%
           ansi                    0             0.0%
           atom                  454             0.0%
         awards                    0             0.0%
         banner                    0             0.0%
     bernouilli                  199             0.0%
   binary-trees                  342             0.0%
          boyer                   51             0.0%
         boyer2                    2             0.0%
           bspt                    9             0.0%
       calendar                    0             0.0%
       cichelli                   55             0.0%
        circsim                  539             0.0%
       clausify                   26             0.0%
  comp_lab_zift                  265             0.0%
       compress                  271             0.0%
      compress2                   79             0.0%
    constraints                 1995             0.0%
   cryptarithm1                 1963             0.0%
   cryptarithm2                   11             0.0%
            cse                    1             0.0%
   digits-of-e1                  422             0.0%
   digits-of-e2                  523             0.0%
          eliza                    0             0.0%
          event                  114             0.0%
    exact-reals                 2444             0.0%
         exp3_8                  375             0.0%
         expert                    0             0.0%
 fannkuch-redux                  832             0.0%
          fasta                  235             0.0%
            fem                   47             0.0%
            fft                   17             0.0%
           fft2                   37             0.0%
       fibheaps                   34             0.0%
           fish                   15             0.0%
          fluid                    5             0.0%
         fulsom                  251             0.0%
         gamteb                   43             0.0%
            gcd                   45             0.0%
    gen_regexps                    0             0.0%
         genfft                   56             0.0%
             gg                    6             0.0%
           grep                    0             0.0%
         hidden                 1024             0.0%
            hpg                   73             0.0%
            ida                  115             0.0%
          infer                   24             0.0%
        integer                 3938             0.0%
      integrate                    1             0.0%
   k-nucleotide                  978             0.0%
          kahan                    1             0.0%
        knights                    1             0.0%
         lambda                 1151             0.0%
     last-piece                  496             0.0%
           lcss                  312             0.0%
           life                  433             0.0%
           lift                    0             0.0%
         linear                 2680             0.0%
      listcompr                  298             0.0%
       listcopy                  327             0.0%
       maillist                   68             0.0%
         mandel                   70             0.0%
        mandel2                    0             0.0%
           mate                 9063             0.0%
        minimax                    4             0.0%
        mkhprog                    2             0.0%
     multiplier                  197             0.0%
         n-body                    0             0.0%
       nucleic2                  124             0.0%
           para                  469             0.0%
      paraffins                   29             0.0%
         parser                   28             0.0%
        parstof                    1             0.0%
            pic                    2             0.0%
       pidigits                 2943             0.0%
          power                  102             0.0%
         pretty                    0             0.0%
         primes                   59             0.0%
      primetest                   54             0.0%
         prolog                    1             0.0%
         puzzle                   93             0.0%
         queens                    5             0.0%
        reptile                   14             0.0%
reverse-complem                   80             0.0%
        rewrite                   14             0.0%
           rfib                    0             0.0%
            rsa                   12             0.0%
            scc                    0             0.0%
          sched                   35             0.0%
            scs                  839             0.0%
         simple                   23             0.0%
          solid                  149             0.0%
        sorting                    1             0.0%
  spectral-norm                    0             0.0%
         sphere                   79             0.0%
         symalg                    0             0.0%
            tak                    0             0.0%
      transform                  644             0.0%
       treejoin                   10             0.0%
      typecheck                  304             0.0%
        veritas                    1             0.0%
           wang                   84             0.0%
      wave4main                   88             0.0%
   wheel-sieve1                   10             0.0%
   wheel-sieve2                   79             0.0%
           x2n1                    0             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%

GC(0) Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.061            0.062
            CSD                0.118           +16.1%
             FS                0.176            +9.1%
              S               29.746            +4.0%
             VS                3.369            -4.0%
            VSD                0.000            0.000
            VSM                0.248           +10.1%
           anna                0.412            +5.8%
           ansi                0.000            0.000
           atom                2.696            +5.1%
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                1.069            -8.5%
   binary-trees               10.650            -0.4%
          boyer                0.357            +5.0%
         boyer2                0.029            0.029
           bspt                0.056            0.061
       calendar                0.000            0.000
       cichelli                0.368            +1.6%
        circsim                7.964            +5.2%
       clausify                0.160            +3.8%
  comp_lab_zift                1.627            +3.3%
       compress                0.844            +0.2%
      compress2                2.685            +4.3%
    constraints               48.619            +4.1%
   cryptarithm1                0.309           +10.0%
   cryptarithm2                0.049            0.050
            cse                0.000            0.000
   digits-of-e1               13.860           -83.6%
   digits-of-e2                9.729            -0.3%
          eliza                0.000            0.000
          event                2.001           +26.5%
    exact-reals                1.142           +16.5%
         exp3_8                0.587            +4.3%
         expert                0.000            0.000
 fannkuch-redux                0.114            +4.4%
          fasta                0.077            0.084
            fem                0.109            +6.4%
            fft                0.456            +1.3%
           fft2                0.325           +24.6%
       fibheaps                0.189            -1.1%
           fish                0.017            0.016
          fluid                0.064            0.066
         fulsom                3.595            +7.4%
         gamteb                0.148            +5.4%
            gcd                0.053            0.101
    gen_regexps                0.000            0.000
         genfft                0.304            +3.0%
             gg                0.083            0.095
           grep                0.000            0.000
         hidden                0.242            +7.4%
            hpg                0.285            +2.5%
            ida                0.361            +3.0%
          infer                0.527           +12.3%
        integer                0.351            +9.7%
      integrate                0.000            0.000
   k-nucleotide                0.164           +10.4%
          kahan                0.000            0.000
        knights                0.000            0.000
         lambda               12.805            +6.5%
     last-piece                2.310            +4.2%
           lcss                8.100            +1.0%
           life                2.308            +6.5%
           lift                0.000            0.000
         linear               12.551            +4.4%
      listcompr                0.057            0.063
       listcopy                0.067            0.072
       maillist                0.130            +2.3%
         mandel                0.078            0.081
        mandel2                0.000            0.000
           mate                3.154            +8.6%
        minimax                0.050            0.053
        mkhprog                0.013            0.013
     multiplier                0.305            +4.9%
         n-body                0.000            0.000
       nucleic2                0.107            +3.7%
           para                1.509            +3.9%
      paraffins                2.451            -1.0%
         parser                0.202            +5.0%
        parstof                0.000            0.000
            pic                0.037            0.040
       pidigits                0.457           +15.8%
          power                4.505            +6.8%
         pretty                0.000            0.000
         primes                0.322            +5.0%
      primetest                0.026            0.027
         prolog                0.000            0.000
         puzzle                0.368            +7.1%
         queens                0.042            0.044
        reptile                0.098            0.099
reverse-complem                0.051            0.056
        rewrite                0.018            0.019
           rfib                0.000            0.000
            rsa                0.053            0.057
            scc                0.000            0.000
          sched                0.067            0.072
            scs                4.111            +4.4%
         simple                1.767            +5.1%
          solid                1.338            +1.3%
        sorting                0.000            0.000
  spectral-norm                0.000            0.000
         sphere                0.059            0.060
         symalg                0.000            0.000
            tak                0.000            0.000
      transform                0.902            +2.4%
       treejoin                1.083            +2.6%
      typecheck                0.130            +6.9%
        veritas                0.000            0.000
           wang                1.525            +4.4%
      wave4main                2.183            +4.9%
   wheel-sieve1                0.470            +9.4%
   wheel-sieve2                3.262            +5.2%
           x2n1                0.000            0.000
        -1 s.d.                -----           -19.3%
        +1 s.d.                -----           +30.0%
        Average                -----            +2.4%

GC(0) Elapsed Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.061            0.062
            CSD                0.118           +14.4%
             FS                0.176            +8.5%
              S               29.761            +4.0%
             VS                3.371            -4.1%
            VSD                0.000            0.000
            VSM                0.248            +9.7%
           anna                0.412            +6.1%
           ansi                0.000            0.000
           atom                2.697            +5.1%
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                1.071            -8.7%
   binary-trees               10.658            -0.4%
          boyer                0.357            +5.0%
         boyer2                0.029            0.029
           bspt                0.056            0.061
       calendar                0.000            0.000
       cichelli                0.368            +1.4%
        circsim                7.966            +5.3%
       clausify                0.159            +5.0%
  comp_lab_zift                1.628            +3.5%
       compress                0.845            -0.1%
      compress2                2.686            +4.3%
    constraints               48.636            +4.1%
   cryptarithm1                0.309           +10.0%
   cryptarithm2                0.049            0.050
            cse                0.000            0.000
   digits-of-e1               13.862           -83.6%
   digits-of-e2                9.733            -0.3%
          eliza                0.000            0.000
          event                2.002           +26.4%
    exact-reals                1.140           +16.1%
         exp3_8                0.588            +3.9%
         expert                0.000            0.000
 fannkuch-redux                0.113            +3.5%
          fasta                0.077            0.084
            fem                0.109            +6.4%
            fft                0.456            +1.3%
           fft2                0.325           +24.6%
       fibheaps                0.189            -1.6%
           fish                0.017            0.017
          fluid                0.064            0.065
         fulsom                3.598            +7.4%
         gamteb                0.148            +4.7%
            gcd                0.052            0.101
    gen_regexps                0.000            0.000
         genfft                0.304            +3.0%
             gg                0.083            0.095
           grep                0.000            0.000
         hidden                0.242            +6.6%
            hpg                0.285            +2.8%
            ida                0.361            +2.8%
          infer                0.528           +12.5%
        integer                0.350            +9.1%
      integrate                0.000            0.000
   k-nucleotide                0.163           +10.4%
          kahan                0.000            0.000
        knights                0.000            0.000
         lambda               12.811            +6.6%
     last-piece                2.316            +3.6%
           lcss                8.104            +0.9%
           life                2.309            +6.3%
           lift                0.000            0.000
         linear               12.555            +4.3%
      listcompr                0.057            0.062
       listcopy                0.065            0.069
       maillist                0.130            +3.1%
         mandel                0.078            0.080
        mandel2                0.000            0.000
           mate                3.154            +8.1%
        minimax                0.050            0.053
        mkhprog                0.014            0.013
     multiplier                0.306            +3.9%
         n-body                0.000            0.000
       nucleic2                0.107            +3.7%
           para                1.509            +4.2%
      paraffins                2.453            -1.1%
         parser                0.202            +5.0%
        parstof                0.000            0.000
            pic                0.037            0.040
       pidigits                0.456           +15.4%
          power                4.508            +6.8%
         pretty                0.000            0.000
         primes                0.322            +5.0%
      primetest                0.026            0.026
         prolog                0.000            0.000
         puzzle                0.368            +6.2%
         queens                0.042            0.044
        reptile                0.098            0.099
reverse-complem                0.051            0.055
        rewrite                0.018            0.019
           rfib                0.000            0.000
            rsa                0.053            0.057
            scc                0.000            0.000
          sched                0.068            0.072
            scs                4.112            +4.4%
         simple                1.768            +5.1%
          solid                1.339            +1.4%
        sorting                0.000            0.000
  spectral-norm                0.000            0.000
         sphere                0.059            0.061
         symalg                0.000            0.000
            tak                0.000            0.000
      transform                0.897            +3.5%
       treejoin                1.083            +2.7%
      typecheck                0.130            +5.4%
        veritas                0.000            0.000
           wang                1.526            +4.5%
      wave4main                2.185            +4.8%
   wheel-sieve1                0.470            +9.4%
   wheel-sieve2                3.265            +5.1%
           x2n1                0.000            0.000
        -1 s.d.                -----           -19.3%
        +1 s.d.                -----           +29.8%
        Average                -----            +2.3%

GC(1) Count

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                    2             0.0%
            CSD                    2             0.0%
             FS                    2             0.0%
              S                    8             0.0%
             VS                    9             0.0%
            VSD                    1             0.0%
            VSM                    2             0.0%
           anna                    7             0.0%
           ansi                    1             0.0%
           atom                    2             0.0%
         awards                    1             0.0%
         banner                    1             0.0%
     bernouilli                   56             0.0%
   binary-trees                   17             0.0%
          boyer                    6             0.0%
         boyer2                    2             0.0%
           bspt                    2             0.0%
       calendar                    1             0.0%
       cichelli                    5             0.0%
        circsim                    6             0.0%
       clausify                    5             0.0%
  comp_lab_zift                   11             0.0%
       compress                    3             0.0%
      compress2                    8             0.0%
    constraints                   30             0.0%
   cryptarithm1                    2             0.0%
   cryptarithm2                    2             0.0%
            cse                    1             0.0%
   digits-of-e1                   47             0.0%
   digits-of-e2                  165             0.0%
          eliza                    1             0.0%
          event                    8             0.0%
    exact-reals                    2             0.0%
         exp3_8                    2             0.0%
         expert                    1             0.0%
 fannkuch-redux                    2             0.0%
          fasta                    2             0.0%
            fem                    3             0.0%
            fft                    4             0.0%
           fft2                    6             0.0%
       fibheaps                    3             0.0%
           fish                    2             0.0%
          fluid                    2             0.0%
         fulsom                   24             0.0%
         gamteb                    3             0.0%
            gcd                    2             0.0%
    gen_regexps                    1             0.0%
         genfft                    7             0.0%
             gg                    3             0.0%
           grep                    1             0.0%
         hidden                    3             0.0%
            hpg                    5             0.0%
            ida                    4             0.0%
          infer                    5             0.0%
        integer                    2             0.0%
      integrate                    2             0.0%
   k-nucleotide                    5             0.0%
          kahan                    1             0.0%
        knights                    1             0.0%
         lambda                   15             0.0%
     last-piece                   54             0.0%
           lcss                   12             0.0%
           life                   41             0.0%
           lift                    1             0.0%
         linear                   47             0.0%
      listcompr                    2             0.0%
       listcopy                    2             0.0%
       maillist                    4             0.0%
         mandel                    2             0.0%
        mandel2                    1             0.0%
           mate                    9             0.0%
        minimax                    2             0.0%
        mkhprog                    2             0.0%
     multiplier                    2             0.0%
         n-body                    1             0.0%
       nucleic2                    2             0.0%
           para                   20             0.0%
      paraffins                    3             0.0%
         parser                    3             0.0%
        parstof                    2             0.0%
            pic                    2             0.0%
       pidigits                    2             0.0%
          power                   39             0.0%
         pretty                    1             0.0%
         primes                    7             0.0%
      primetest                    2             0.0%
         prolog                    1             0.0%
         puzzle                    8             0.0%
         queens                    2             0.0%
        reptile                    3             0.0%
reverse-complem                    2             0.0%
        rewrite                    2             0.0%
           rfib                    1             0.0%
            rsa                    2             0.0%
            scc                    1             0.0%
          sched                    2             0.0%
            scs                   35             0.0%
         simple                    4             0.0%
          solid                   24             0.0%
        sorting                    1             0.0%
  spectral-norm                    1             0.0%
         sphere                    2             0.0%
         symalg                    1             0.0%
            tak                    1             0.0%
      transform                   14             0.0%
       treejoin                    4             0.0%
      typecheck                    2             0.0%
        veritas                    1             0.0%
           wang                    7             0.0%
      wave4main                   15             0.0%
   wheel-sieve1                    4             0.0%
   wheel-sieve2                    6             0.0%
           x2n1                    1             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%

GC(1) Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.048            0.047
            CSD                0.052            0.055
             FS                0.003            0.002
              S                0.442            -0.9%
             VS                0.008            0.009
            VSD                0.000            0.000
            VSM                0.003            0.003
           anna                0.075            0.078
           ansi                0.000            0.000
           atom                0.064            0.049
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                0.446           -12.1%
   binary-trees                1.099            -2.1%
          boyer                0.041            0.043
         boyer2                0.063            0.064
           bspt                0.044            0.044
       calendar                0.000            0.000
       cichelli                0.106            +4.7%
        circsim                0.244            +5.3%
       clausify                0.048            0.050
  comp_lab_zift                0.144            +2.8%
       compress                0.050            0.056
      compress2                0.210            +5.2%
    constraints                0.465            +3.9%
   cryptarithm1                0.004            0.004
   cryptarithm2                0.004            0.004
            cse                0.044            0.044
   digits-of-e1                0.385           -17.1%
   digits-of-e2                3.919            +0.9%
          eliza                0.000            0.000
          event                0.173           +23.1%
    exact-reals                0.005            0.005
         exp3_8                0.003            0.004
         expert                0.000            0.000
 fannkuch-redux                0.003            0.004
          fasta                0.006            0.006
            fem                0.058            0.057
            fft                0.117            +5.1%
           fft2                0.093            0.115
       fibheaps                0.046            0.046
           fish                0.044            0.052
          fluid                0.014            0.014
         fulsom                0.192            +9.9%
         gamteb                0.065            0.068
            gcd                0.003            0.011
    gen_regexps                0.000            0.000
         genfft                0.084            0.086
             gg                0.067            0.069
           grep                0.000            0.000
         hidden                0.052            0.053
            hpg                0.032            0.026
            ida                0.051            0.056
          infer                0.101            +4.0%
        integer                0.003            0.003
      integrate                0.055            0.057
   k-nucleotide                0.013            0.013
          kahan                0.038            0.040
        knights                0.037            0.038
         lambda                0.196            +5.6%
     last-piece                0.347            +2.9%
           lcss                0.303            +1.7%
           life                0.260            +8.5%
           lift                0.000            0.000
         linear                0.268            +0.4%
      listcompr                0.037            0.037
       listcopy                0.038            0.040
       maillist                0.050            0.051
         mandel                0.040            0.040
        mandel2                0.000            0.000
           mate                0.008            0.009
        minimax                0.004            0.004
        mkhprog                0.040            0.037
     multiplier                0.039            0.045
         n-body                0.000            0.000
       nucleic2                0.006            0.003
           para                0.072            0.074
      paraffins                0.459            +1.5%
         parser                0.016            0.016
        parstof                0.082            0.086
            pic                0.077            0.080
       pidigits                0.035            0.036
          power                1.540            +5.5%
         pretty                0.000            0.000
         primes                0.192            +3.1%
      primetest                0.035            0.037
         prolog                0.046            0.040
         puzzle                0.033            0.034
         queens                0.006            0.007
        reptile                0.049            0.058
reverse-complem                0.003            0.003
        rewrite                0.038            0.044
           rfib                0.000            0.000
            rsa                0.005            0.006
            scc                0.000            0.000
          sched                0.004            0.008
            scs                0.190            +2.1%
         simple                0.469            +5.3%
          solid                0.251            -0.4%
        sorting                0.043            0.045
  spectral-norm                0.000            0.000
         sphere                0.004            0.005
         symalg                0.000            0.000
            tak                0.000            0.000
      transform                0.086            0.098
       treejoin                0.767            +6.1%
      typecheck                0.033            0.035
        veritas                0.043            0.044
           wang                0.099            0.104
      wave4main                0.277            +6.9%
   wheel-sieve1                0.123           +11.4%
   wheel-sieve2                0.176            +4.0%
           x2n1                0.000            0.000
        -1 s.d.                -----            -3.6%
        +1 s.d.                -----           +10.3%
        Average                -----            +3.1%

GC(1) Elapsed Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.048            0.047
            CSD                0.052            0.055
             FS                0.003            0.003
              S                0.442            -1.1%
             VS                0.008            0.008
            VSD                0.000            0.000
            VSM                0.003            0.003
           anna                0.075            0.078
           ansi                0.000            0.000
           atom                0.064            0.049
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                0.446           -11.9%
   binary-trees                1.099            -1.5%
          boyer                0.041            0.043
         boyer2                0.063            0.064
           bspt                0.044            0.044
       calendar                0.000            0.000
       cichelli                0.106            +4.7%
        circsim                0.244            +5.3%
       clausify                0.048            0.049
  comp_lab_zift                0.144            +2.8%
       compress                0.050            0.056
      compress2                0.210            +5.2%
    constraints                0.471            +1.9%
   cryptarithm1                0.004            0.004
   cryptarithm2                0.004            0.004
            cse                0.044            0.045
   digits-of-e1                0.385           -17.1%
   digits-of-e2                3.922            +0.7%
          eliza                0.000            0.000
          event                0.173           +22.5%
    exact-reals                0.005            0.005
         exp3_8                0.003            0.003
         expert                0.000            0.000
 fannkuch-redux                0.003            0.004
          fasta                0.006            0.006
            fem                0.058            0.057
            fft                0.117            +5.1%
           fft2                0.094            0.115
       fibheaps                0.046            0.046
           fish                0.044            0.052
          fluid                0.014            0.015
         fulsom                0.192            +9.9%
         gamteb                0.065            0.068
            gcd                0.003            0.011
    gen_regexps                0.000            0.000
         genfft                0.085            0.086
             gg                0.067            0.068
           grep                0.000            0.000
         hidden                0.052            0.052
            hpg                0.032            0.026
            ida                0.051            0.057
          infer                0.101            +4.0%
        integer                0.003            0.003
      integrate                0.055            0.058
   k-nucleotide                0.013            0.013
          kahan                0.038            0.040
        knights                0.037            0.038
         lambda                0.196            +5.1%
     last-piece                0.347            +2.9%
           lcss                0.302            +1.7%
           life                0.260            +8.5%
           lift                0.000            0.000
         linear                0.268            +0.4%
      listcompr                0.037            0.037
       listcopy                0.037            0.040
       maillist                0.050            0.052
         mandel                0.040            0.041
        mandel2                0.000            0.000
           mate                0.008            0.008
        minimax                0.004            0.004
        mkhprog                0.040            0.037
     multiplier                0.039            0.045
         n-body                0.000            0.000
       nucleic2                0.006            0.004
           para                0.072            0.075
      paraffins                0.460            +1.5%
         parser                0.016            0.017
        parstof                0.082            0.087
            pic                0.077            0.079
       pidigits                0.035            0.036
          power                1.541            +5.5%
         pretty                0.000            0.000
         primes                0.192            +3.6%
      primetest                0.035            0.037
         prolog                0.046            0.040
         puzzle                0.033            0.034
         queens                0.006            0.006
        reptile                0.049            0.058
reverse-complem                0.003            0.003
        rewrite                0.038            0.044
